Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
01/01/17,"1 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST",Dublin 3,Dublin,242424,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"11 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST",Dublin 3,Dublin,242424,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"124 SEAFIELD RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,535500,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"126 SEAFIELD RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,630000,No,No,Second-Hand Dwelling house /Apartment,
01/01/17,"128 SEAFIELD RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,535500,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"13 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3",Dublin 3,Dublin,271800,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"18 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST",Dublin 3,Dublin,242424,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"20 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3",Dublin 3,Dublin,360000,No,No,Second-Hand Dwelling house /Apartment,
01/01/17,"25 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST",Dublin 3,Dublin,148148,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"32 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3",Dublin 3,Dublin,352800,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"35 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3",Dublin 3,Dublin,215600,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"5 SEAFIELD GROVE, CLONTARF, DUBLIN 3",Dublin 3,Dublin,830000,No,No,Second-Hand Dwelling house /Apartment,
01/01/17,"8 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3",Dublin 3,Dublin,271800,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"9 TEAL HOUSE, REDCOURT OAKS SEAFIELD RD EAST, CLONTARF",Dublin 3,Dublin,66000,Yes,No,Second-Hand Dwelling house /Apartment,
02/01/17,"31 UPPER DRUMCONDRA ROAD, DRUMCONDRA, DUBLIN 9",,Dublin,260000,No,No,Second-Hand Dwelling house /Apartment,
03/01/17,"114 SHELMARTIN AVE, MARINO, DUBLIN 3",Dublin 3,Dublin,375000,No,No,Second-Hand Dwelling house /Apartment,
03/01/17,"13 THE VIEW, ROBSWALL, MALAHIDE",,Dublin,575000,No,No,Second-Hand Dwelling house /Apartment,
03/01/17,"180 THE LINKS, ELM PARK, MERRION RD DUBLIN 4",Dublin 4,Dublin,292000,No,No,Second-Hand Dwelling house /Apartment,
03/01/17,"4 Park lane, Belltree, Clongriffen",,Dublin,255507,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/17,"74 ST MAGDALEN TERRACE, STELLA GARDENS, IRISHTOWN DUBLIN 4",Dublin 4,Dublin,452000,No,No,Second-Hand Dwelling house /Apartment,
03/01/17,"83 UPPER TREES RD, MOUNT MERRION, DUBLIN",,Dublin,260000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"117 BALALLY DR, DUNDRUM, DUBLIN 16",Dublin 16,Dublin,625000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"128B MERRION RD, BALLSBRIDGE, DUBLIN 4",,Dublin,1150000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"129 THE LINKS, ELMPARK, MERRION RD DUBLIN 4",Dublin 4,Dublin,100000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"130 THE LINKS, ELMPARK, MERRION RD DUBLIN 4",Dublin 4,Dublin,100000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"16 YORK COURT, YORK RD, DUNLAOIGHAIRE",,Dublin,222500,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"18 GAZELLE LANE, TYRRELSTOWN, DUBLIN 15",Dublin 15,Dublin,210000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"184 LARAGHCON, LUCAN, DUBLIN",,Dublin,735000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"2 KILCLARE AVENUE, JOBSTOWN, TALLAGHT",,Dublin,140000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"23 OAKLANDS DR, RATHGAR, DUBLIN 6",Dublin 6,Dublin,915000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"26 LONGSTOWN PARK, PORTRANE, DUBLIN",,Dublin,210000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"29 Dodderbrook Park, Oldcourt Road, Ballycullen",,Dublin,405000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/17,"31 Ballygossan Park, Golf Links Road, Skerries",,Dublin,286344,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/17,"31 CHERRY ORCHARD GREEN, CHERRY ORCHARD, BALLYFERMOT DUBLIN 10",Dublin 10,Dublin,161000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"32 FOXBOROUGH DOWNES, LUCAN, DUBLIN",,Dublin,258000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"4 LORCAN DR, SANTRY, DUBLIN 9",Dublin 9,Dublin,337500,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"4 OTTERBROOK, WILLBROOK RD, RATHFARNHAM DUBLIN 14",Dublin 14,Dublin,357500,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"46 GLEDSWOOD PARK, CLONSKEAGH, DUBLIN 14",Dublin 14,Dublin,612000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"67 MARLBOROUGH COURT, MARLBOROUGH ST, DUBLIN 1",Dublin 1,Dublin,206000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"70 PREMIER SQ, FINGLAS, DUBLIN 11",Dublin 11,Dublin,199000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"73 TAYLEURS POINT, RUSH, DUBLIN",,Dublin,256000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"82 FFORSTER LAWNS LUCAN, DUBLIN",,Dublin,310000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"9 WADELAI RD, GLASNEVIN, DUBLIN 11",Dublin 11,Dublin,355000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"92 SHANDON PARK, PHIBSBOROUGH, DUBLIN",Dublin 7,Dublin,450000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"APT 1, 23 LOWER LEESON ST, DUBLIN 2",Dublin 2,Dublin,2150000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"APT 2, 1 LOWER HATCH ST, DUBLIN 2",Dublin 2,Dublin,1200000,No,No,Second-Hand Dwelling house /Apartment,
